strength	module_id
245.3529499	7
67.72905639	3
119.1665566	7
238.2382509	7
247.4595338	7
199.1016473	7
74.48821069	7
320.0238085	6
176.2524567	6
87.54065627	3
82.19498209	3
152.8873478	2
186.1040387	7
314.6895278	1
218.6478101	1
70.20609669	7
69.83036148	3
129.4077351	7
78.00110671	7
62.5140021	7
119.5621835	7
122.9018061	7
97.88126556	7
48.83396039	6
127.4798827	5
171.8670232	2
151.5667282	2
135.9406975	6
113.8920226	1
147.9945507	2
118.5274772	2
84.54988878	2
65.34741605	2
63.36068721	2
86.58890872	2
95.44191368	6
119.3757237	5
116.3073691	5
120.2569635	6
124.9436845	6
82.64282901	6
157.6061948	3
164.3751927	5
187.2550204	3
171.9274879	3
132.1865469	3
142.996087	3
104.0094942	3
159.8329791	3
120.6909445	3
251.1498836	6
202.7099645	6
108.312603	6
107.183771	6
130.8798393	6
224.7761241	3
90.34022837	5
145.3372311	1
88.3452628	5
106.878814	5
96.47902249	2
112.9507609	2
136.1313426	2
93.16032969	2
105.8012811	2
32.46780993	2
195.3411978	2
98.68929812	2
187.4031445	2
165.7448038	2
96.35536018	2
157.754113	2
163.2905379	1
224.0732937	1
166.6518617	2
147.8916526	2
166.8419352	2
238.1538893	5
86.16992224	1
50.70124272	3
129.512538	1
116.3401393	1
135.4556957	1
113.628243	1
88.99991425	1
117.6165775	1
112.381649	2
121.1953148	4
63.06310388	2
141.9506883	4
116.7717915	4
65.12646397	4
109.4941104	4
87.24348137	2
71.49983748	3
109.5816047	3
116.5293776	3
109.9937679	2
188.5588727	5
98.45811244	6
85.43382351	6
79.24295709	6
83.58732468	6
83.80001163	6
108.9637767	5
186.6232321	5
57.86566485	6
155.6498002	5
88.42863713	5
108.6280898	4
61.29409653	1
81.40096604	1
126.0212917	5
26.54864591	5
51.44482859	5
86.62238516	3
81.17981207	3
69.57950562	4
127.7797627	2
246.2366742	4
136.769245	7
113.5040331	4
103.8348258	2
114.1246343	6
120.4516521	2
105.5929807	2
93.59377675	7
110.8315747	2
122.0174213	2
107.8960402	2
239.9151664	4
122.9389258	2
212.545494	1
146.1482916	2
148.5180759	4
108.8521615	3
190.4849149	3
175.840925	3
109.6107442	2
73.59638154	3
73.55151133	3
203.227345	7
232.8200049	3
98.996834	1
150.3655008	1
159.225706	3
113.6113693	5
222.0032758	5
254.0714103	2
122.4291912	2
274.6671853	2
177.9653897	7
62.35988037	7
54.60734592	7
36.83867861	2
106.4802587	7
114.2827568	3
134.835998	7
128.6890974	7
106.9580765	7
107.1916189	2
95.98634253	2
90.12795579	7
77.56192463	4
63.05615403	2
72.35768433	4
237.1268808	5
44.62904505	6
64.66796577	5
92.1323067	2
110.5092686	1
120.8869243	4
76.86031446	6
103.039964	6
167.5586989	6
110.8986878	2
131.7299882	2
106.227592	4
100.4734047	2
100.4192148	2
263.9484108	7
97.12423673	7
116.6912634	7
243.8383858	7
247.8140816	7
218.2365124	7
57.92797035	7
279.7335641	6
159.2287071	6
139.8590703	3
83.58082226	5
164.4080423	5
231.3252646	7
315.0100236	1
228.3062977	1
185.1305009	7
156.5703226	3
124.7348826	7
108.3436346	7
70.7787155	7
125.5628171	7
132.3377499	7
105.8846698	7
50.00180793	6
180.8024256	5
150.133173	2
175.3143314	2
111.8408079	5
101.528076	3
122.9319812	2
97.17281136	2
68.00150735	2
51.8270978	2
51.92738298	2
61.88014414	2
106.4292296	6
130.1257487	5
114.2726994	5
125.9449232	6
143.7990808	6
90.42343011	6
153.0171388	3
120.087748	5
167.8526955	5
164.3992932	3
143.5359443	3
201.4879123	3
167.6526844	3
155.6220014	3
161.5658044	3
234.2803528	6
181.1564735	6
126.916552	6
124.1684503	6
139.6375779	6
230.124927	6
72.1866637	5
165.6100617	5
79.60569906	5
87.07014209	5
94.16649999	2
95.81486151	2
150.159393	1
61.47743441	2
80.98898441	2
37.24016248	2
194.4149772	1
103.1657838	2
183.8348675	2
213.5903514	2
114.5194553	2
134.6883289	2
159.7742131	1
222.1042329	5
142.9238305	2
138.9677437	2
167.129616	1
199.1230161	5
87.04321897	1
48.93469865	3
145.6594517	1
139.8751718	1
163.9167206	1
97.93032711	1
98.77676355	1
106.0882567	5
129.647339	2
87.14414914	4
103.5642493	4
160.0372318	4
117.9615468	1
49.57118935	4
84.63344955	4
95.07928327	2
104.7146964	3
93.68770529	3
124.183206	1
130.3454931	2
188.8958407	6
105.6178867	6
65.9709374	6
80.71255665	6
67.34539044	6
89.27374093	6
75.55752478	5
255.1288719	5
60.10141398	6
94.84230076	5
100.3716615	5
102.8366259	5
64.44072517	1
92.19349843	2
81.81119704	5
41.76478444	5
38.11121175	5
90.34226964	3
119.4736023	3
68.74669898	4
135.1996917	7
311.1479133	4
130.3854897	7
116.4412217	4
102.0389641	2
86.97622347	6
139.70331	6
145.5652557	7
108.6773508	7
136.1506871	2
128.066767	2
87.60633961	2
213.5575847	4
100.306919	2
217.200369	1
145.9498194	4
179.5104419	4
113.3979735	3
218.3091816	3
153.2695941	3
117.8751516	5
127.0880988	3
82.42380387	3
198.6790789	7
307.4215053	7
108.5257989	1
194.055948	1
120.9428357	3
87.4277043	5
188.6191961	5
242.0031744	1
135.1569056	2
297.6994555	2
190.5428257	7
36.89790216	7
53.01726645	7
56.69486795	7
103.1153262	7
121.817337	3
145.0190428	7
137.0784908	7
121.3700356	7
94.47619285	2
72.02565235	1
98.26772848	7
57.30765158	4
38.02114698	4
70.9887835	4
296.1651287	5
61.92453683	6
34.03258718	5
105.5273001	1
99.21696012	1
132.8998721	4
59.77907127	6
61.41365516	6
151.7300742	6
68.18668751	2
95.80678829	2
84.06504458	5
89.74688842	1
112.1001142	2
