Network_ID Network_ID_LR
16 16
16 16
16 16
16 16
16 16
16 16
16 16
16 16
16 16
16 16
16 16
17 17
17 17
17 17
17 17
17 17
17 17
17 17
17 17
17 17
13 13
13 13
13 13
13 13
13 13
13 13
13 13
13 13
13 13
13 13
13 13
13 13
13 13
13 13
13 13
14 14
14 14
14 14
14 14
14 14
14 14
14 14
14 14
14 14
14 14
14 14
14 14
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
8 8
8 8
8 8
8 8
8 8
8 8
8 8
8 8
11 11
11 11
11 11
11 11
11 11
11 11
11 11
11 11
11 11
11 11
12 12
12 12
12 12
12 12
12 12
12 12
10 10
10 10
10 10
10 10
9 9
9 9
9 9
9 9
9 9
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
1 1
2 2
2 2
2 2
2 2
2 2
2 2
3 3
3 3
3 3
3 3
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
4 4
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
5 5
6 6
6 6
6 6
6 6
6 6
6 6
15 15
15 15
15 15
15 15
15 32
16 33
16 33
16 33
16 33
16 33
16 33
16 33
16 33
16 33
16 33
16 33
17 34
17 34
17 34
17 34
17 34
17 34
17 34
17 34
17 34
13 30
13 30
13 30
13 30
13 30
13 30
13 30
13 30
13 30
13 30
13 30
13 30
13 30
13 30
13 30
14 31
14 31
14 31
14 31
14 31
14 31
14 31
14 31
14 31
7 24
7 24
7 24
7 24
7 24
7 24
7 24
7 24
8 25
8 25
8 25
8 25
8 25
8 25
8 25
8 25
11 28
11 28
11 28
11 28
11 28
11 28
11 28
11 28
11 28
11 28
11 28
11 28
11 28
11 28
11 28
12 29
12 29
12 29
12 29
12 29
12 29
12 29
12 29
10 27
10 27
10 27
10 27
10 27
9 26
9 26
9 26
9 26
9 26
9 26
1 18
1 18
1 18
1 18
1 18
1 18
1 18
1 18
1 18
1 18
2 19
2 19
2 19
2 19
2 19
2 19
2 19
2 19
2 19
2 19
2 19
2 19
3 20
3 20
3 20
3 20
4 21
4 21
4 21
4 21
4 21
4 21
4 21
4 21
4 21
4 21
4 21
4 21
5 22
5 22
5 22
5 22
5 22
5 22
5 22
6 23
6 23
6 23
6 23
15 32
15 32
15 32
15 32
15 32
15 32
15 32
