Hemisphere Strength Degree
2 25.0235233851108 77
2 12.8955796686148 83
2 25.9536263865553 87
2 15.6497674372731 76
2 0.707977380672556 50
2 12.967849844886 55
2 8.55418987199286 69
2 6.45630301801935 74
2 4.26757228368327 55
2 11.7099306415963 70
2 5.99811436351214 45
2 17.6480889001742 64
2 27.6560768149619 74
2 46.8339069254778 76
2 25.5852718265336 64
2 0.117832086755122 3
2 10.1016028346269 42
2 22.0071425288835 84
2 6.9032185004529 31
2 10.4540189194865 78
2 8.511039621723 38
2 5.13667602172727 85
2 19.4343890202551 77
2 9.48014551688531 84
2 4.66614449769961 65
2 9.27075741530828 86
2 5.81774534593047 69
2 12.0857186008649 48
2 7.96963814327465 64
2 13.3029605447199 92
2 15.218033496295 66
2 18.5894193332933 69
2 27.6171957582068 75
2 5.26278573660667 45
2 2.29530171594454 40
2 4.04804199870005 49
2 3.3175212665605 53
2 4.10990219823078 42
2 5.90516180060867 77
2 2.87812898725278 37
2 1.03440214769047 24
2 2.25651471519234 42
2 6.42819197645456 65
2 3.2161236477796 54
2 4.17915227658668 55
2 4.15889992426786 77
2 3.30928069889763 56
2 2.46273439323924 37
2 2.70217853188489 44
2 1.48802309197483 44
2 2.80984100228131 69
2 0.983052080181303 28
2 5.99545048579802 45
2 2.4290720896585 42
2 2.60910532796935 33
2 1.82000352860372 38
1 25.0235233851107 77
1 12.8955796686148 83
1 25.9536263865553 87
1 15.6497674372731 76
1 0.707977380672556 50
1 12.967849844886 55
1 8.55418987199286 69
1 6.45630301801935 74
1 4.26757228368327 55
1 11.7099306415963 70
1 5.99811436351214 45
1 17.6480889001742 64
1 27.6560768149619 74
1 46.8339069254778 76
1 25.5852718265336 64
1 0.117832086755122 3
1 10.1016028346269 42
1 22.0071425288835 84
1 6.9032185004529 31
1 10.4540189194865 78
1 8.51103962172299 38
1 5.13667602172727 85
1 19.4343890202551 77
1 9.48014551688531 84
1 4.66614449769961 65
1 9.27075741530829 86
1 5.81774534593047 69
1 12.0857186008649 48
1 7.96963814327465 64
1 13.3029605447199 92
1 15.218033496295 66
1 18.5894193332933 69
1 27.6171957582068 75
1 5.26278573660667 45
1 2.29530171594454 40
1 4.04804199870005 49
1 3.3175212665605 53
1 4.10990219823078 42
1 5.90516180060867 77
1 2.87812898725278 37
1 1.03440214769047 24
1 2.25651471519234 42
1 6.42819197645456 65
1 3.2161236477796 54
1 4.17915227658668 55
1 4.15889992426786 77
1 3.30928069889763 56
1 2.46273439323924 37
1 2.70217853188489 44
1 1.48802309197483 44
1 2.8098410022813 69
1 0.983052080181303 28
1 5.99545048579802 45
1 2.4290720896585 42
1 2.60910532796935 33
1 1.82000352860372 38
