x y z
-33.522087 -41.020683 -21.20993
-30.245659 -34.020477 -15.423951
-33.441692 -64.017265 -15.361618
-27.855371 -54.814587 -6.931384
-21.580355 -73.856644 -7.458366
-20.44923 -85.429298 -12.295816
-14.006661 -38.802727 -9.508218
-36.988976 -87.561035 -7.745879
-14.963142 -61.26535 -3.989393
-7.250531 -76.743767 -2.139911
-22.107187 -98.335602 -8.669897
-16.264338 -50.654694 -2.381643
-44.262287 -76.673965 4.194829
-10.724013 -91.169838 -2.603907
-24.674469 -92.894272 5.988803
-12.683978 -79.911163 6.935898
-23.124891 -64.885544 6.124514
-36.856197 -82.417107 12.823672
-14.441785 -96.632416 17.184307
-5.083829 -86.901566 21.214279
-12.934574 -74.247292 20.96567
-26.463608 -81.191261 19.074141
-11.840647 -85.585953 36.654606
-21.728928 -75.497215 39.358326
-47.295731 -14.104347 2.078428
-52.017998 -26.563501 7.706543
-35.12151 -12.084951 16.475737
-32.397415 -24.642733 14.610393
-49.052483 -16.236958 15.321756
-53.279739 -38.871204 17.692162
-43.606247 -31.562786 19.478876
-61.254967 -5.95887 12.388539
-56.958721 -21.111742 20.898403
-53.877918 -10.294156 25.423182
-55.587936 -22.014107 33.943558
-47.357555 -11.222791 40.263309
-47.26659 -18.642797 41.834175
-9.39789 -10.300878 45.220337
-39.028675 -14.06277 47.98613
-44.982002 -30.855747 52.377682
-42.668343 -22.866938 52.333195
-5.733067 -21.788771 49.275291
-35.547504 -21.920855 62.01231
-4.855177 -6.911551 60.008171
-30.059721 -45.195709 60.415745
-31.24556 -31.439711 59.103039
-25.73587 -36.942619 63.55582
-23.512901 -13.020536 62.349632
-9.206668 -41.621742 64.292206
-4.417854 -25.11721 66.375496
-17.931585 -44.560982 67.327682
-17.920017 -31.778238 65.587692
-16.564758 -26.130348 65.092224
-45.813084 -49.501476 -15.119869
-42.24575 -69.851486 -7.737395
-51.243412 -63.604317 1.453286
-43.658504 -67.621346 13.710973
-26.314127 -67.430679 36.883327
-53.153862 -31.505981 41.63562
-29.123789 -57.246284 47.398956
-39.078239 -35.926926 44.309395
-32.540657 -48.402679 47.228371
-17.119667 -67.015305 54.167194
-26.341999 -56.894917 56.693573
-15.206707 -55.535255 62.875744
-27.816069 6.619641 55.589966
-31.749376 -5.722165 48.442474
-20.829796 4.873338 60.660515
-47.071133 0.166904 36.394848
-55.799179 -43.54483 27.260191
-56.999413 -31.59914 24.239368
-58.862881 -37.213444 36.338627
-50.618599 -54.170788 9.932737
-37.316998 -5.64126 -5.118092
-29.46727 25.922258 -0.795922
-30.080883 19.406404 10.479074
-35.07637 1.117733 13.894769
-45.044937 13.049331 1.285215
-52.269814 -1.28068 5.492869
-48.000534 6.443893 19.235573
-27.550749 43.107674 25.637596
-8.781851 7.669485 40.623993
-15.41182 -34.932251 41.6278
-6.536027 -49.664597 57.733635
-14.002275 -5.835125 69.630775
-21.742498 22.203348 -18.989927
-10.455117 22.749437 -18.669233
-9.450784 48.899288 -23.634617
-29.672745 -4.702129 -37.04781
-52.687355 -19.210814 -31.917397
-41.548801 -19.304089 -23.756639
-25.827436 10.600614 -32.733517
-44.702171 10.805334 -33.009617
-19.478889 -20.809431 -25.042505
-44.545979 3.656806 -16.874529
-51.818741 -49.690384 41.499912
-33.883015 -61.761456 43.705193
-40.486256 -51.844078 45.087296
-46.245033 -42.389847 45.429813
-56.759502 -53.015011 -8.658044
-31.430109 41.214024 -11.754912
-41.041122 48.273186 -4.91212
-27.66721 52.234112 8.952477
-39.547695 40.15694 12.829642
-41.746201 23.408194 22.349026
-36.792881 32.485649 31.930031
-40.100487 12.88558 34.287998
-10.112134 -73.654427 44.886539
-7.232731 -61.914482 53.915405
-4.111193 -27.713915 28.015886
-2.01818 0.389994 31.886253
-5.254537 24.277899 47.365036
-60.74081 -10.191685 -19.338043
-57.557484 -37.693329 -16.765175
-55.857685 5.394737 -8.856876
-55.642815 -12.919443 -5.634107
-50.548363 -25.453489 -6.989215
-59.27066 -37.737148 -2.510273
-58.468571 -30.945127 3.097306
-54.983807 -43.661667 9.350864
-45.792477 -61.399063 23.20442
-37.248268 -79.835762 32.864384
-54.802307 -52.738239 27.562078
-44.417274 -65.385071 39.37854
-31.064501 21.441517 -12.559797
-7.174106 37.17979 -10.487948
-47.065098 32.179245 -9.683607
-19.333826 59.616577 -5.946823
-6.727327 59.155476 1.643219
-48.758316 27.987564 1.456501
-7.080791 44.7598 11.104209
-51.615749 22.493046 10.930997
-18.151072 59.197994 19.436563
-8.614078 26.948141 26.923901
-5.076586 47.512379 32.693405
-14.367125 43.157696 42.234642
-24.917242 31.668703 37.648422
-38.312584 17.372959 46.094688
-40.327969 3.510635 47.32465
-22.386002 18.1409 47.380852
-11.821606 21.410572 59.279392
-4.514016 6.246868 65.926285
-9.366956 -51.740955 5.384304
