Network_ID	Network_LH	Strength
5	5	108.8521615
5	5	190.4849149
2	2	175.840925
6	6	109.6107442
10	10	73.59638154
10	10	73.55151133
1	1	203.227345
5	5	232.8200049
7	7	98.996834
7	7	150.3655008
5	5	159.225706
4	4	113.6113693
4	4	222.0032758
7	7	254.0714103
9	9	122.4291912
9	9	274.6671853
2	2	177.9653897
2	2	62.35988037
2	2	54.60734592
9	9	36.83867861
2	2	106.4802587
2	2	114.2827568
2	2	134.835998
2	2	128.6890974
2	2	106.9580765
9	9	107.1916189
9	9	95.98634253
2	2	90.12795579
9	9	77.56192463
9	9	63.05615403
12	12	72.35768433
4	4	237.1268808
3	3	44.62904505
4	4	64.66796577
7	7	92.1323067
7	7	110.5092686
6	6	120.8869243
8	8	76.86031446
8	8	103.039964
8	8	167.5586989
9	9	110.8986878
9	9	131.7299882
4	4	106.227592
4	4	100.4734047
4	4	100.4192148
1	13	263.9484108
2	14	97.12423673
2	14	116.6912634
2	14	243.8383858
2	14	247.8140816
2	14	218.2365124
2	14	57.92797035
3	15	279.7335641
3	15	159.2287071
4	16	139.8590703
4	16	83.58082226
6	18	164.4080423
2	14	231.3252646
7	19	315.0100236
7	19	228.3062977
2	14	185.1305009
2	14	156.5703226
2	14	124.7348826
2	14	108.3436346
2	14	70.7787155
2	14	125.5628171
2	14	132.3377499
2	14	105.8846698
8	20	50.00180793
4	16	180.8024256
6	18	150.133173
10	22	175.3143314
10	22	111.8408079
7	19	101.528076
9	21	122.9319812
9	21	97.17281136
9	21	68.00150735
9	21	51.8270978
9	21	51.92738298
9	21	61.88014414
3	15	106.4292296
4	16	130.1257487
4	16	114.2726994
3	15	125.9449232
3	15	143.7990808
3	15	90.42343011
3	15	153.0171388
4	16	120.087748
4	16	167.8526955
4	16	164.3992932
5	17	143.5359443
3	15	201.4879123
2	14	167.6526844
2	14	155.6220014
5	17	161.5658044
3	15	234.2803528
3	15	181.1564735
3	15	126.916552
3	15	124.1684503
3	15	139.6375779
3	15	230.124927
4	16	72.1866637
7	19	165.6100617
4	16	79.60569906
4	16	87.07014209
9	21	94.16649999
7	19	95.81486151
7	19	150.159393
9	21	61.47743441
9	21	80.98898441
9	21	37.24016248
9	21	194.4149772
9	21	103.1657838
9	21	183.8348675
9	21	213.5903514
9	21	114.5194553
9	21	134.6883289
7	19	159.7742131
7	19	222.1042329
6	18	142.9238305
9	21	138.9677437
7	19	167.129616
4	16	199.1230161
6	18	87.04321897
7	19	48.93469865
7	19	145.6594517
4	16	139.8751718
7	19	163.9167206
4	16	97.93032711
7	19	98.77676355
4	16	106.0882567
9	21	129.647339
9	21	87.14414914
7	19	103.5642493
9	21	160.0372318
7	19	117.9615468
7	19	49.57118935
7	19	84.63344955
9	21	95.07928327
5	17	104.7146964
5	17	93.68770529
7	19	124.183206
7	19	130.3454931
4	16	188.8958407
3	15	105.6178867
3	15	65.9709374
3	15	80.71255665
8	20	67.34539044
3	15	89.27374093
4	16	75.55752478
4	16	255.1288719
8	20	60.10141398
4	16	94.84230076
4	16	100.3716615
12	24	102.8366259
7	19	64.44072517
12	24	92.19349843
4	16	81.81119704
4	16	41.76478444
3	15	38.11121175
5	17	90.34226964
5	17	119.4736023
9	21	68.74669898
9	21	135.1996917
9	21	311.1479133
1	13	130.3854897
11	23	116.4412217
6	18	102.0389641
8	20	86.97622347
6	18	139.70331
9	21	145.5652557
5	17	108.6773508
9	21	136.1506871
6	18	128.066767
9	21	87.60633961
9	21	213.5575847
9	21	100.306919
7	19	217.200369
9	21	145.9498194
11	23	179.5104419
5	17	113.3979735
5	17	218.3091816
2	14	153.2695941
6	18	117.8751516
10	22	127.0880988
10	22	82.42380387
1	13	198.6790789
5	17	307.4215053
7	19	108.5257989
7	19	194.055948
5	17	120.9428357
4	16	87.4277043
4	16	188.6191961
7	19	242.0031744
9	21	135.1569056
9	21	297.6994555
2	14	190.5428257
2	14	36.89790216
2	14	53.01726645
9	21	56.69486795
2	14	103.1153262
2	14	121.817337
2	14	145.0190428
2	14	137.0784908
2	14	121.3700356
9	21	94.47619285
7	19	72.02565235
2	14	98.26772848
9	21	57.30765158
9	21	38.02114698
12	24	70.9887835
4	16	296.1651287
3	15	61.92453683
4	16	34.03258718
7	19	105.5273001
7	19	99.21696012
6	18	132.8998721
8	20	59.77907127
8	20	61.41365516
8	20	151.7300742
9	21	68.18668751
7	19	95.80678829
4	16	84.06504458
4	16	89.74688842
4	16	112.1001142
