x y z
-35.174137 -42.944344 -20.754614
-29.082165 -38.081715 -19.672621
-35.943886 -59.345592 -16.859478
-32.33831 -38.146793 -12.023087
-28.080751 -57.63652 -14.431002
-34.447567 -72.954781 -14.995188
-27.215317 -76.894737 -10.121908
-27.656319 -58.015995 -7.662007
-24.596912 -71.44342 -7.479126
-28.74835 -47.251629 -5.792238
-24.303495 -85.528862 -14.22092
-41.117241 -76.413086 -9.246463
-35.460938 -86.376106 -13.071682
-14.529866 -82.187744 -12.37653
-21.639221 -58.169048 -7.234123
-14.850849 -74.0634 -7.868844
-21.392532 -47.943058 -7.119429
-14.324263 -89.38723 -10.400532
-13.299988 -38.933716 -8.645447
-28.947506 -93.12574 -9.018962
-14.154408 -64.409767 -3.362185
-17.473452 -97.612953 -13.013433
-14.572886 -51.047455 -6.698385
-7.250531 -76.743767 -2.139911
-4.71025 -87.468292 -10.901754
-38.19492 -87.014641 -3.071007
-8.909375 -96.507256 -9.127937
-12.906779 -42.288593 -3.917255
-22.245964 -99.618515 -4.017127
-9.419701 -58.510303 2.751638
-29.356934 -90.885208 0.764408
-44.735001 -78.043587 4.458084
-4.702191 -70.23912 6.417977
-17.592461 -52.706783 -1.404408
-6.673474 -83.972893 0.00481
-9.118028 -44.460964 1.619974
-37.134117 -84.825607 4.833052
-9.411629 -101.807144 1.169819
-17.992823 -65.96286 2.862551
-9.382863 -94.161385 2.589656
-21.381062 -95.977013 5.1721
-14.00793 -77.067467 7.031685
-9.005175 -48.26405 3.379556
-29.528511 -88.677109 7.173368
-22.661102 -56.321476 5.442453
-45.433765 -76.063156 12.858679
-19.390579 -71.265434 7.688757
-1.271859 -88.766037 8.490417
-37.916939 -80.64093 12.702148
-15.034592 -98.417465 11.053436
-19.89171 -63.00351 8.588737
-25.479792 -93.247643 12.58002
-5.102056 -76.414368 12.766065
-6.538693 -95.307884 11.564595
-12.181949 -66.192863 11.817443
-32.132042 -87.849434 13.8785
-4.81787 -72.190804 18.894085
-3.564901 -85.670586 20.548883
-19.700853 -91.814171 19.256874
-37.950203 -84.118828 22.727688
-9.490751 -93.138336 22.799513
-15.841465 -71.710129 19.36129
-17.325909 -62.747555 21.604395
-27.737806 -83.675209 18.536047
-8.989653 -77.331024 25.32954
-30.767881 -82.619461 27.0054
