x y z
-34.72076 -61.714798 -16.066399
-21.73035 -75.603859 -7.988677
-31.136921 -82.285583 -14.488329
-14.384829 -87.430855 -11.397981
-23.759102 -97.10807 -10.242751
-36.777939 -87.74099 -1.910082
-13.620603 -95.203033 -4.819014
-43.750782 -75.400482 4.990382
-22.977474 -94.419113 6.370838
-36.856197 -82.417107 12.823672
-12.548434 -96.574379 16.066231
-24.662928 -81.951912 19.581594
-27.443363 -54.348442 -6.724172
-13.735236 -61.136559 -3.473225
-6.940075 -75.348785 -0.98804
-12.899417 -41.905319 -4.489221
-16.301203 -52.379402 -1.478206
-8.261595 -86.487587 -1.269783
-13.257077 -78.696159 9.436578
-23.124891 -64.885544 6.124514
-4.726917 -85.756996 22.161806
-12.185447 -72.257042 19.368233
-15.476213 -87.059074 31.362799
-14.640883 -78.371574 33.557865
-8.928899 -14.185199 46.631512
-37.814056 -14.834668 46.705364
-44.775803 -18.634914 52.239975
-44.982002 -30.855747 52.377682
-37.89957 -26.685705 49.422215
-9.811534 -36.572346 52.455593
-4.636859 -21.680725 54.040291
-4.627785 -7.932905 58.839012
-35.547504 -21.920855 62.01231
-31.24556 -31.439711 59.103039
-28.914003 -37.627922 61.399521
-24.957588 -12.88647 59.443916
-20.147461 -25.352217 63.170082
-9.425617 -41.733936 68.548836
-4.213572 -25.0732 67.809723
-15.986708 -12.204816 67.840942
-17.920017 -31.778238 65.587692
-17.993898 -37.669949 67.773872
-12.329369 -27.451454 69.692505
-49.301704 -11.237214 2.234412
-53.288574 -23.47397 6.667422
-33.782806 -24.251623 6.566134
-35.011574 -8.177011 14.343525
-34.503517 -26.054123 19.191957
-55.591389 -38.286736 16.503448
-40.567429 -36.264744 13.131096
-47.198341 -15.069961 15.904016
-58.681618 -4.441221 10.504693
-47.902096 -25.931646 18.440445
-57.191212 -19.418779 20.376654
-55.408981 -3.694007 22.076521
-62.225868 -11.659068 29.797958
-50.262402 -11.479971 27.637344
-50.032909 -9.267838 41.957817
-46.264233 -17.500937 37.693604
-44.54887 -38.96545 -19.482216
-32.191078 -42.887894 -20.18244
-46.22892 -53.939243 -12.627858
-41.841164 -73.505196 -8.050161
-44.175591 -65.89695 13.306608
-30.518421 -81.270065 26.409143
-25.555437 -69.97847 30.748152
-20.85187 -75.453758 42.480408
-24.304995 -64.292068 47.129642
-28.927841 -56.353374 47.884499
-32.690613 -50.004265 51.835766
-16.07922 -66.287209 56.589195
-26.031788 -57.260231 58.612541
-59.213535 -23.594828 29.719631
-53.149433 -21.308659 38.755409
-52.972565 -30.735107 40.863152
-43.839546 -31.243067 41.266953
-37.531368 -38.933582 47.105824
-30.076025 -44.51989 59.579418
-11.087711 -55.92308 62.044632
-22.034655 -52.770969 64.009628
-14.639332 -49.414997 68.525085
-38.944546 -3.674358 48.518509
-27.269823 1.923928 55.227764
-30.648924 -7.770237 49.282761
-47.673767 0.790343 35.675377
-51.759068 -32.861843 23.530283
-55.216274 -43.103966 26.735518
-59.55883 -35.227077 32.743507
-39.024364 1.779968 -5.898391
-38.110844 -14.479598 -4.760238
-30.15704 21.568205 10.208014
-33.8484 3.847472 12.574234
-49.886383 -0.391502 4.696756
-50.553555 11.012696 11.615321
-12.865125 -27.097071 37.93298
-12.98425 -41.258316 46.287903
-7.346789 -49.011364 57.948624
-7.405115 -0.617168 41.266014
-6.467221 7.289088 48.666653
-9.582148 -4.478477 68.247597
-37.212856 48.658722 11.154696
-29.162697 42.762997 25.627573
-36.537483 30.973135 33.60759
-32.532562 15.095195 -10.008275
-29.46727 25.922258 -0.795922
-44.322414 13.79358 1.913584
-26.854729 50.927956 -12.350128
-8.647043 17.980822 32.208729
-12.452491 24.069349 -17.4422
-21.045033 23.053091 -18.771751
-9.450784 48.899288 -23.634617
-3.635988 19.374771 -20.742491
-15.408385 61.588017 -7.017921
-38.144463 -6.00701 -43.128147
-23.394449 3.37226 -39.22113
-25.540501 -11.610903 -33.678516
-53.402893 -20.901892 -30.692699
-41.548801 -19.304089 -23.756639
-33.250519 11.308353 -29.893435
-45.582615 4.205761 -15.221851
-52.405731 -62.241825 -1.12635
-29.060308 -70.35881 39.362106
-56.335155 -41.143101 40.565395
-34.003548 -59.593002 43.156414
-46.448505 -41.277344 45.01976
-34.138428 -46.089405 42.214237
-20.829796 4.873338 60.660515
-43.843834 35.371265 10.078483
-40.055073 38.023617 21.178352
-49.057518 5.159173 24.76689
-40.896111 22.109783 24.484123
-38.607975 8.3004 33.158607
-2.01818 0.389994 31.886253
-57.465809 -38.876167 -18.306513
-57.304081 -49.839603 -9.776502
-46.447826 -59.247246 43.551315
-51.818741 -49.690384 41.499912
-40.873203 -51.022949 45.236721
-29.40605 16.206543 51.35965
-41.550762 47.770794 -6.346473
-28.627266 54.950424 1.100848
-25.737686 51.928898 12.668335
-5.254537 24.277899 47.365036
-10.40488 -67.231796 30.467829
-9.393859 -73.242966 45.880211
-6.646119 -61.212013 52.772167
-5.331245 -38.459972 25.551916
-2.921607 -22.617783 29.163923
-45.922596 -62.929996 30.396147
-38.436813 -70.780678 42.717506
-26.660093 30.383873 38.939571
-18.661556 34.569912 42.226933
-20.795048 20.402555 50.095943
