Strength Degree Hemisphere
25981.8333333333 126 2
4687.5850340136 82 2
5996.74489795919 55 2
17580.0442176871 130 2
17365.3605442177 120 2
12675.5170068027 99 2
2087.64965986395 45 2
20251.3639455782 97 2
9712.60204081633 64 2
4668.44217687075 28 2
2018.0306122449 33 2
5876.19727891156 39 2
6285.18707482993 76 2
11973.5612244898 124 2
9108.26530612245 87 2
1661.92857142857 46 2
3555.22448979592 83 2
4085.9149659864 53 2
5206.95238095238 96 2
3016.51700680272 53 2
2535.85034013605 44 2
2431.92857142857 50 2
2012.44557823129 49 2
824.200680272109 19 2
3774.30272108843 38 2
14670.2482993197 58 2
4812.02380952381 64 2
4562.88095238095 40 2
3076.84353741497 53 2
3852.9387755102 72 2
6296.85034013606 81 2
1275.43537414966 44 2
1951.92176870748 52 2
1565.4693877551 48 2
7698.89455782313 82 2
2182.47959183673 32 2
5440.48979591837 45 2
7628.8231292517 79 2
5035.58163265306 35 2
6925.01020408163 46 2
3770.31632653061 43 2
5330.15646258503 65 2
11941.7653061224 48 2
12053.887755102 55 2
7968.57142857143 65 2
2504.34693877551 56 2
7504.74829931973 40 2
4329.44217687075 42 2
3544.45578231292 67 2
4694.19727891157 59 2
14416.149659864 87 2
9035.50340136054 74 2
16151.4591836735 83 2
8077.3843537415 32 2
12739.3707482993 41 2
5882.0306122449 70 2
1275.96258503401 46 2
6251.7925170068 70 2
2860.80952380952 57 2
5838.03741496598 57 2
3965.09183673469 52 2
7133.66326530612 60 2
6596.85034013605 64 2
4661.40136054422 54 2
5577.03401360544 50 2
1149.52040816327 26 2
10754.2891156463 44 2
8596.01020408163 61 2
9391.21768707483 66 2
5406.6462585034 57 2
4328.12244897959 42 2
6782.06462585034 59 2
9887.12244897959 40 2
8100.45578231292 76 2
6998.63265306123 104 2
5039.90816326531 80 2
7028.84353741497 87 2
7262.33333333334 75 2
6580.42176870749 47 2
6942.39455782313 48 2
4697.27891156463 40 2
5135.18707482993 64 2
5714.25170068027 29 2
6754.87074829932 27 2
5120.34693877551 29 2
10462.6292517007 61 2
5632.39115646259 49 2
3768.17346938776 52 2
3544.43537414966 68 2
4942.77551020408 78 2
8327.57142857143 94 2
3475.39115646259 41 2
3557.55442176871 49 2
2869.08503401361 29 2
4943.09183673469 45 2
10039.1598639456 48 2
5766.37755102041 33 2
3149.04081632653 38 2
3936.74149659864 57 2
2822.79591836735 40 2
3527.24489795918 46 2
5055.59523809524 64 2
4574.39795918367 113 2
11551.4455782313 104 2
4741.94217687075 48 2
4576.97959183673 106 2
1588.30272108843 58 2
6612.24149659864 114 2
2801.5306122449 50 2
1337.08163265306 38 2
2893.77891156463 50 2
2316.39795918367 41 2
1910.78911564626 46 2
4153.49319727891 66 2
3196.39455782313 57 2
5046.08163265306 28 2
16512.2176870748 72 2
2110.91496598639 69 2
2608.83333333333 84 2
16358.5102040816 170 2
6384.57142857143 68 2
6063.75170068027 63 2
2397.89455782313 65 2
2974.19387755102 57 2
2915.04421768708 59 2
2659.1156462585 74 2
3789.94217687075 57 2
2499.58843537415 71 2
6549.86394557823 85 2
7139.20068027211 85 2
10383.4285714286 98 2
4075.31292517007 70 2
9694.45578231292 64 2
6901.90816326531 79 2
10337.5340136054 97 2
5828.98979591837 78 2
8738.3537414966 54 2
8444.86054421769 97 2
5927.40816326531 77 2
3803.57482993197 57 2
3489.52040816327 79 2
7458.73469387755 88 2
4876.55442176871 80 2
4898.63945578231 37 2
4596.88775510204 47 2
4648.04761904762 90 2
3551.43537414966 40 2
10890.1394557823 51 2
15601.5476190476 70 2
13821.1360544218 111 2
8933.22448979592 84 2
3998.55102040816 61 2
1671.63945578231 36 2
1926.97278911565 51 2
978.527210884354 29 2
1798.92857142857 38 2
4387.87414965986 73 2
3938.77210884354 78 2
2710.32653061224 59 2
3584.92176870748 61 2
3853.95578231293 72 2
1540.68367346939 49 2
2539.37074829932 44 2
1426.99659863946 43 2
1132.1462585034 42 2
2156.07142857143 38 2
5402.5612244898 119 2
2320.22448979592 55 2
5993.52380952381 107 2
5661.20408163265 50 2
3796.18027210884 70 2
4359.05102040816 67 2
1793.97278911565 67 2
3576.37074829932 78 2
4310.60204081633 61 2
4456.51700680272 86 2
4350.07482993197 56 2
4156.6768707483 87 2
6290.06462585034 60 2
4328.87414965986 59 2
22536.5408163265 127 1
5590.0306122449 74 1
6564.02721088435 46 1
17108.0340136054 135 1
15906.4523809524 122 1
13023.962585034 99 1
2568.95918367347 45 1
20766.6734693878 86 1
7432.12925170068 61 1
5833.57482993197 34 1
3445.2380952381 34 1
4898.20408163265 37 1
9546.08163265306 83 1
12924.5034013605 118 1
9598.70408163266 92 1
3177.8231292517 78 1
5370.3537414966 94 1
4508.33333333333 44 1
6322.59523809524 107 1
3508.52040816326 73 1
2062.50680272109 40 1
2947.55102040816 44 1
2411.92857142857 50 1
581.482993197279 26 1
5986.46258503401 49 1
13953.4591836735 52 1
5101.27551020408 70 1
4820.20408163265 54 1
3056.38775510204 48 1
3647.07482993197 71 1
5668.68707482993 84 1
1500.65646258503 44 1
1428.40136054422 52 1
1088.55102040816 44 1
7033.88775510204 79 1
3087.68707482993 32 1
5497.27551020408 52 1
8993.93197278911 80 1
5485.02721088435 40 1
7229.87414965987 47 1
4397.36054421769 39 1
4556.4387755102 65 1
8909.99319727891 36 1
11663.0068027211 50 1
6604.71088435374 73 1
2687.28911564626 73 1
8741.72108843538 73 1
3683.29931972789 66 1
2690.80952380952 74 1
4950.48639455782 76 1
16407.3129251701 77 1
11459.1496598639 79 1
15410.3265306122 76 1
7748.80612244898 32 1
9314.4149659864 40 1
9124.73469387755 55 1
2217.3231292517 48 1
8197.84353741497 79 1
1713.02721088435 48 1
5779.60204081632 55 1
3659.08843537415 54 1
8084.46258503401 69 1
8705.56802721088 66 1
4346.98299319728 49 1
4376.23129251701 34 1
1543.84013605442 34 1
10680.574829932 34 1
7756.70068027211 53 1
11733.6360544218 79 1
9343.46258503401 66 1
4597.82993197279 48 1
5355.40476190476 47 1
8850.77551020408 35 1
9307.67006802721 66 1
5048.78911564626 90 1
5753.69047619047 87 1
8272.23469387755 76 1
7460.95918367347 56 1
4781.45238095238 42 1
7039.51360544218 41 1
4916.43197278912 46 1
4935.37755102041 76 1
8256.05782312925 32 1
8402.77891156462 32 1
4566.8843537415 20 1
9541.43537414966 66 1
4335.63605442177 55 1
3617.40476190476 45 1
4122.80612244898 73 1
6337.59183673469 74 1
8067.07142857143 79 1
2142.7925170068 32 1
3154.63265306123 44 1
3117.59523809524 43 1
4582.76530612245 55 1
10667.1972789116 40 1
6044.28911564626 31 1
3842.2074829932 39 1
5386.68707482993 51 1
3600.32993197279 36 1
2261.72789115646 46 1
3882.72789115646 58 1
2399.93197278912 77 1
12420.7721088435 96 1
4454.95918367347 48 1
5274.39455782313 93 1
1801.05782312925 60 1
4936.08503401361 79 1
3017.47278911565 51 1
1858.08503401361 49 1
3356.51360544218 70 1
3377.49659863946 72 1
2066.54421768707 34 1
5068.07482993197 69 1
3949.78911564626 51 1
4469.23469387755 27 1
14037.306122449 73 1
1760.72448979592 61 1
2254.21768707483 84 1
16884.0612244898 192 1
6084.3843537415 64 1
5564.04081632653 68 1
2541.6462585034 50 1
2303.84013605442 47 1
3853.6156462585 60 1
3228.77551020408 85 1
2931.25170068027 49 1
4335.48979591837 76 1
9723.96938775511 95 1
3841.80612244898 57 1
10963.6428571429 90 1
3449.5612244898 44 1
8092.28231292517 81 1
7904.53401360544 70 1
11617.1598639456 80 1
6512.54081632653 60 1
7673.30612244898 74 1
6084.61904761905 58 1
10660.5170068027 98 1
6111.39795918367 56 1
7877.27891156463 111 1
8535.94217687074 96 1
7659.44217687075 91 1
5176.61904761905 32 1
5244.15986394558 62 1
2956.06462585034 69 1
2601.29931972789 27 1
6809.17346938776 49 1
15247.193877551 60 1
11875.3333333333 103 1
8042.65306122449 85 1
5001.42517006803 69 1
1911.19047619048 54 1
2031.65646258503 44 1
949.241496598639 41 1
1751.01360544218 39 1
4626.32653061224 72 1
3665.71088435374 78 1
3276.34693877551 62 1
4471.96598639456 65 1
2661.71768707483 55 1
1421.47619047619 46 1
2371.43197278912 44 1
916.010204081633 44 1
1536.97619047619 42 1
1708.72448979592 65 1
5918.35034013605 116 1
1387.12585034014 47 1
6147.05102040816 103 1
6617.67346938776 66 1
3783.02040816326 79 1
4786.99659863945 65 1
