Strength Degree Hemisphere
23729.7857142857 115 2
2377.57482993197 46 2
6055.35714285714 72 2
24019.1156462585 119 2
17263.3639455782 111 2
9424.36394557823 95 2
2062.74489795918 52 2
24495.2517006803 118 2
9887.54421768707 74 2
6135.64285714286 37 2
2996.04761904762 36 2
7047.17346938776 52 2
5174.46598639456 84 2
13789.6904761905 128 2
9373.18027210885 111 2
1973.47959183674 66 2
2256.02721088435 62 2
4687.12585034014 58 2
2573.2074829932 64 2
3447.97959183673 34 2
3508.7925170068 65 2
2645.64965986395 62 2
2271.05102040816 57 2
1301.62585034014 44 2
4621.00680272109 47 2
19169.1258503401 79 2
4633.19047619048 60 2
5946.80612244898 51 2
3771.84013605442 81 2
5241.82993197279 64 2
3740.32993197279 65 2
1660.12585034014 40 2
1775.28571428571 50 2
1892.70408163265 40 2
2853.07823129252 35 2
2538.7074829932 37 2
3716.44897959184 45 2
3043.26870748299 52 2
4950.45578231293 48 2
5866.42857142857 43 2
2300.55102040816 36 2
5233.54761904762 75 2
15235.4421768707 51 2
13474.5816326531 70 2
9043.33333333333 89 2
2628.32653061224 80 2
9166.5850340136 71 2
5984.73129251701 53 2
3994.44217687075 81 2
5188.97959183673 67 2
16650.1598639456 117 2
10942.5408163265 93 2
4826.4455782313 69 2
10988.4183673469 58 2
14927.6428571429 65 2
7069.21428571429 82 2
1688 41 2
4476.07823129252 67 2
1518.09863945578 37 2
2656.84693877551 40 2
2325.39455782313 43 2
2949.8231292517 44 2
6011.2619047619 59 2
1899.0612244898 48 2
2691.39115646259 48 2
1253.28571428571 23 2
16284.9659863946 60 2
5615.98639455782 38 2
5878.20408163265 70 2
6374.55102040816 70 2
3977.33673469388 54 2
5165.46258503401 73 2
17514.1088435374 61 2
10887.3469387755 91 2
6045.33333333333 102 2
4275.90816326531 78 2
6220.80612244898 86 2
8638.72448979592 89 2
5955.94217687075 42 2
2718.52721088435 11 2
5163.10884353742 47 2
3944.15306122449 67 2
7971.61904761905 47 2
9373.72448979592 36 2
6251.76190476191 40 2
7189.11904761905 41 2
4918.47278911565 54 2
3369.76190476191 61 2
2472.35714285714 60 2
3705.76190476191 76 2
6141.44217687075 72 2
4075.48299319728 36 2
5234.18367346939 58 2
4288.69727891156 32 2
2959.33333333333 37 2
6713.04081632653 39 2
7358.36054421769 39 2
5116.35714285714 42 2
4355.93537414966 73 2
3499.5306122449 43 2
3084.79591836735 34 2
2421.5 40 2
1631.18027210884 87 2
2964.35714285714 38 2
4113.05442176871 46 2
4595.74149659864 120 2
1620.41156462585 59 2
4318.71428571429 82 2
5725.98639455782 68 2
8049.99659863946 58 2
3381.78911564626 37 2
3658.81972789116 42 2
2126.64965986395 63 2
1779.70068027211 51 2
1602.25170068027 30 2
4696.06802721088 34 2
6458.75850340136 30 2
2066.49319727891 58 2
2739.74829931973 94 2
12850.1700680272 152 2
6006.13945578231 72 2
7135.63945578231 56 2
1677.14285714286 71 2
2597.15646258503 71 2
2889.86054421769 81 2
3277.39115646259 64 2
2967.82993197279 57 2
2299.3231292517 90 2
4355.92517006803 71 2
4765.49659863946 65 2
13440.2074829932 105 2
3229.57823129252 87 2
11150.380952381 87 2
5460.90476190476 90 2
7460.4081632653 71 2
4578.18027210884 64 2
11912.7551020408 72 2
6047.43877551021 91 2
4198.16326530612 44 2
5284.53401360544 30 2
2731.3231292517 46 2
7353.4149659864 91 2
5478.84013605442 102 2
5851.98639455782 41 2
7137.38775510204 65 2
4783.25850340136 83 2
4097.7074829932 47 2
11949.5272108844 69 2
18299.8231292517 81 2
9900.08503401361 52 2
11034.1496598639 94 2
3605.40136054422 102 2
2096.79591836735 44 2
1430.47278911565 38 2
1358.41156462585 41 2
1950.04081632653 55 2
5107.77551020408 79 2
4439.66666666667 76 2
3138.61904761905 65 2
2525.5306122449 74 2
4179.25510204082 46 2
2062.39795918367 34 2
2768.43537414966 46 2
1595.11224489796 37 2
976.755102040816 38 2
4035.72789115646 55 2
4841.4693877551 138 2
2337.48639455782 39 2
4860.34013605442 49 2
4334.92857142857 47 2
3471.87755102041 61 2
4671.18367346939 81 2
1890.53741496599 60 2
2059.30612244898 62 2
3899.88775510204 84 2
2604.07823129252 92 2
4519.15646258503 63 2
2216.94217687075 79 2
2549.68027210884 40 2
3381.01020408163 44 2
20492.0680272109 104 1
3660.94897959184 53 1
4813.12925170068 48 1
19933.4795918367 122 1
15066.2414965986 101 1
9866.90136054422 92 1
2194.19387755102 35 1
23895.5068027211 90 1
7020.73129251701 67 1
8211.22448979592 41 1
4351.74829931973 41 1
7750.76870748299 51 1
7865.19727891157 98 1
11409.5238095238 115 1
8868.20068027211 109 1
3515.81632653061 92 1
3552.7619047619 93 1
4690.41496598639 49 1
3460.62585034014 74 1
2933.36394557823 31 1
3421.18027210884 55 1
3535.45578231293 56 1
3442.55442176871 53 1
985.547619047619 29 1
6500.99319727891 66 1
16946.9489795918 69 1
4766.85714285714 75 1
5953.81972789115 54 1
3189.63265306122 81 1
3144.67346938775 68 1
3102.65306122449 65 1
1687.94217687075 31 1
1210.94217687075 47 1
1034.33333333333 26 1
1997.53401360544 36 1
3185.87755102041 37 1
4266.91836734694 47 1
3186.86394557823 50 1
5138.18367346939 42 1
6193.14965986395 45 1
2732.20068027211 34 1
4161.72108843538 79 1
12054.887755102 42 1
13881.9795918367 64 1
7097.56462585034 96 1
2611.87755102041 88 1
9689.31292517007 85 1
5208.86394557823 78 1
2718.82993197279 77 1
5417.7380952381 94 1
18750.1768707483 101 1
11546.8231292517 76 1
5448.90476190476 59 1
10751.5408163265 62 1
11176.8095238095 59 1
12356.268707483 70 1
1742.42176870748 34 1
4971.58163265306 72 1
1340.37414965986 33 1
2423.28571428571 40 1
2374.85714285714 46 1
2823.68707482993 48 1
9452.28231292517 64 1
1684.43197278912 40 1
2067.41496598639 36 1
1747.86734693878 26 1
17818.2823129252 53 1
6136.67006802721 51 1
6336.81292517007 80 1
11619.5646258503 96 1
4268.01020408163 59 1
4635.81632653061 64 1
11672.7517006803 50 1
11643.5034013605 73 1
4707.58843537415 102 1
4752.27551020408 94 1
9247.65646258503 91 1
10630.2346938775 73 1
3814.93197278912 29 1
2823.80952380952 13 1
6473.74489795918 52 1
4389.65986394558 84 1
12261.9217687075 50 1
9559.40136054422 37 1
6560.30612244898 38 1
7587.91836734694 45 1
4356.18707482993 57 1
3267.24489795918 59 1
2669.81972789116 70 1
5027.96598639456 81 1
5277.21768707483 68 1
2248.57823129252 24 1
3588.5306122449 56 1
4194.72108843537 35 1
2771 54 1
6539.54421768708 38 1
7932.5612244898 48 1
6204.49319727891 55 1
6210.78571428572 67 1
4318.07482993197 42 1
1653.40136054422 24 1
2768.95578231292 42 1
1286.64965986395 71 1
3389.25170068027 39 1
3023.6768707483 39 1
6143.60204081632 116 1
1875.67006802721 48 1
3538.68707482993 59 1
5051.81972789116 65 1
8105.95918367347 63 1
4393.55442176871 36 1
4985.24829931973 68 1
2362.10204081633 53 1
1921.51360544218 30 1
1860.12244897959 23 1
4468.21768707483 24 1
8073.1462585034 37 1
1535.20068027211 67 1
2316.21768707483 114 1
13385.0714285714 173 1
3763.05782312925 60 1
6520.21428571428 75 1
2332.40476190476 52 1
2338.98299319728 51 1
3544.91496598639 79 1
3518.98299319728 97 1
3023.44557823129 52 1
3287.02380952381 88 1
5160.91836734694 80 1
3219.97619047619 51 1
14135.2891156463 99 1
2816.23469387755 63 1
8669.86394557823 104 1
6208.63945578231 85 1
9099.67006802721 70 1
5362.02721088435 56 1
10090.2891156463 96 1
6481.40136054422 68 1
6498.46598639456 60 1
9588.23129251701 42 1
4946.03401360544 52 1
5914.31632653061 95 1
10752.6292517007 112 1
5823.59523809524 32 1
6617.38095238095 85 1
3321.05782312925 78 1
3128.47959183673 37 1
7986.73129251701 61 1
18793.5476190476 87 1
11270.1054421769 80 1
11737.6088435374 104 1
4621.5850340136 97 1
2375.43197278912 56 1
1239.42857142857 38 1
1540.15306122449 47 1
2575.7380952381 53 1
4565.84353741497 67 1
4583.81972789116 75 1
4203.51360544218 62 1
2899.44557823129 61 1
1998.28571428571 48 1
1620.07823129252 38 1
3064.12585034014 38 1
1357.67346938776 45 1
830.493197278912 32 1
1916.22789115646 64 1
6775.87414965986 129 1
1944.37414965986 38 1
4597.02380952381 57 1
5715.07482993197 62 1
4244.69727891157 91 1
5432.47278911565 65 1
1553.75170068027 47 1
2036.52040816327 40 1
4147.54081632653 79 1
1966.33673469388 51 1
3223.41156462585 78 1
2087.29591836735 64 1
2052.52380952381 41 1
3081.48299319728 49 1
