Strength Degree Hemisphere
33279.112244898 80 2
3184.80952380952 45 2
5260.85714285714 42 2
32268.7074829932 75 2
23550.2346938776 73 2
16739.0646258503 66 2
3820.05782312925 35 2
17846.0544217687 116 2
10376.1632653061 68 2
4706.64285714286 54 2
2451.6156462585 34 2
4612.5612244898 61 2
8065.8843537415 66 2
13953.0782312925 202 2
8197.42176870748 126 2
2532.02380952381 35 2
3583.31972789116 56 2
7020.9387755102 61 2
3787.78571428571 53 2
3288.86054421769 34 2
4017.23129251701 43 2
3724.47959183673 37 2
2164.78231292517 36 2
2007.70068027211 29 2
4635.39455782313 60 2
8230.36054421769 101 2
3841.63605442177 61 2
3936.5612244898 43 2
2929.54421768708 66 2
4332.68367346939 60 2
5466.52721088436 72 2
1851.06802721088 24 2
2052.01700680272 22 2
2107.8537414966 28 2
3116.40136054422 36 2
2908.42857142857 23 2
5217.2380952381 60 2
6030.30612244898 75 2
3238.21768707483 44 2
6576.21088435374 49 2
3766.10544217687 56 2
6212.44897959184 92 2
8389.96258503401 96 2
9315.1156462585 114 2
5797.18707482993 99 2
2946.89795918367 53 2
5377.22789115646 63 2
4549.5 65 2
4165.81632653061 72 2
4878.93537414966 74 2
12159.3537414966 74 2
14258.1768707483 105 2
8773.80272108844 81 2
5934.8231292517 59 2
8066.28231292517 69 2
3308.65306122449 42 2
1603.67006802721 25 2
4249.43537414966 77 2
1930.73469387755 32 2
4588.09183673469 72 2
3505.73469387755 41 2
5218.33673469388 69 2
6776.19047619047 78 2
3712.71428571429 43 2
3602.80612244898 37 2
1701.51700680272 15 2
9463.44217687075 103 2
8213.25510204082 74 2
9097.65986394558 93 2
6527.88095238095 77 2
6082.8537414966 68 2
7469.45238095238 84 2
9184.73809523809 105 2
6571.3231292517 95 2
6909.05782312925 84 2
4073.91496598639 51 2
8230.1156462585 90 2
7815.8537414966 88 2
4384.34013605442 64 2
3669.12244897959 48 2
4436.94897959184 59 2
7066.69387755102 81 2
5851.91156462585 72 2
7434.02380952381 74 2
5963.96258503401 70 2
10872.8639455782 97 2
7596.84353741497 79 2
4841.03401360544 50 2
4712.5 69 2
4599.37414965987 62 2
6713.41496598639 62 2
5527.08843537415 33 2
6452.5306122449 47 2
3457.50680272109 29 2
3317.21428571429 42 2
10259.768707483 111 2
4607.21088435374 76 2
3050.41156462585 42 2
3572.66666666667 43 2
4818.3537414966 35 2
3977.95918367347 41 2
4190.10544217687 52 2
3859.50680272109 84 2
5540.15986394558 81 2
4275.35034013605 59 2
3768.4149659864 79 2
2342.03741496599 23 2
5791.09523809523 88 2
3557.59523809524 57 2
3668.37074829932 43 2
3900.68027210884 56 2
2516.58843537415 50 2
1942.23129251701 30 2
2866.65646258503 62 2
2456.26530612245 38 2
6512.80612244898 55 2
8235.32993197279 76 2
1901.80952380952 5 2
2246.78571428571 31 2
19236.5986394558 194 2
5195.21768707483 43 2
7382.75170068027 26 2
2227.09863945578 21 2
4782.10544217687 65 2
5324.93877551021 57 2
4069.3231292517 22 2
5663.0306122449 38 2
5615.2619047619 72 2
6914.93877551021 95 2
6824.84013605442 82 2
10958.2278911565 84 2
6308.53401360544 69 2
11769.6020408163 125 2
11217.3367346939 104 2
12748.7482993197 71 2
8332.87414965987 89 2
8211.20068027211 85 2
10106.4387755102 104 2
5368.55442176871 53 2
3943.97278911565 47 2
3005.04761904762 42 2
5864.63945578231 81 2
5943.84353741496 76 2
5430.19727891156 63 2
5391.0306122449 74 2
4245.57142857143 71 2
5104.6156462585 39 2
11021.4387755102 103 2
13392.731292517 116 2
11006.8843537415 70 2
10116.9285714286 91 2
2467.89115646259 29 2
3604.46598639456 23 2
2870.80952380952 30 2
2550.2074829932 22 2
2332.71428571429 33 2
4655.67006802721 59 2
3897.22448979592 45 2
2948.85714285714 45 2
4132.50680272109 33 2
3967.68707482993 48 2
1471.83333333333 20 2
6088.41496598639 44 2
2151.81292517007 18 2
1859.59183673469 15 2
2818.10544217687 22 2
4554.80952380952 123 2
2893.13945578231 49 2
4750.98979591837 68 2
5255.81292517007 73 2
