Strength Degree Hemisphere
18357.3231292517 133 2
4430.73129251701 81 2
3757.59863945578 52 2
20460.6598639456 131 2
17750.2891156463 120 2
11994.2517006803 101 2
3535.90476190476 51 2
14210.4659863946 97 2
8031.8537414966 64 2
4111.44897959184 28 2
1960.91156462585 30 2
5056.56122448979 39 2
4255.58843537415 72 2
7649.40816326531 123 2
6190.6462585034 82 2
1574.08843537415 47 2
3025.72448979592 83 2
7892.71088435374 59 2
4361.24489795919 95 2
3134.48979591837 53 2
2706.39795918367 44 2
2854.71428571429 53 2
2158.84353741497 50 2
1255.47278911565 22 2
4234.87414965986 40 2
8234.54761904762 55 2
4035.73469387755 62 2
5057.11904761905 39 2
2059.66326530612 52 2
4023.91156462585 71 2
5337.06462585034 80 2
1269.42857142857 46 2
1817.72448979592 54 2
1499.25170068027 51 2
6155.89115646258 83 2
1888.0850340136 32 2
3718.65646258503 46 2
6142.15986394558 75 2
3237.91836734694 34 2
5565.90816326531 48 2
3563.95918367347 43 2
3237.54081632653 63 2
8183.62244897959 48 2
7481.95238095238 55 2
4500.80612244898 69 2
1843.26530612245 58 2
5785.22448979592 38 2
3566.90136054422 42 2
2539.99319727891 65 2
4144.62244897959 60 2
11125.7278911565 92 2
8288.51360544218 74 2
13862.2346938776 83 2
6540.93197278912 33 2
6095.89795918367 41 2
3868.77210884354 69 2
1387.70068027211 47 2
4059.75850340136 71 2
2384.89115646258 59 2
5717.94557823129 57 2
3771.1768707483 50 2
6909.84693877551 62 2
6214.55782312925 61 2
3792.16326530612 53 2
3760.18707482993 48 2
1464.2074829932 27 2
10592.231292517 45 2
9528.61224489796 56 2
8629.92857142857 67 2
4662.96258503401 58 2
4498.74829931973 41 2
5200.99319727891 59 2
10569.3843537415 40 2
6826.86394557823 76 2
6606.88095238096 105 2
4631.48299319728 82 2
7248.89115646259 89 2
6166.86394557823 75 2
6765.20068027211 45 2
6983.96598639456 47 2
5020.29931972789 38 2
6026.12925170068 64 2
6700.30952380952 30 2
8552.45578231293 26 2
6284.22448979592 30 2
12086.5136054422 56 2
5696.41156462585 44 2
2858.30612244898 51 2
3468.91836734694 64 2
3457.47959183674 77 2
7711.52040816326 92 2
4327.8231292517 41 2
3785.59863945578 48 2
3556.82653061225 30 2
4053.47619047619 47 2
9502.22448979592 44 2
5720.69047619047 34 2
3352.95578231293 37 2
3327.79591836735 56 2
3571.20408163265 41 2
4446.58503401361 47 2
4642.97959183673 65 2
3533.11904761905 109 2
9803.26190476191 102 2
5549.60544217687 47 2
4868.31632653061 106 2
2250.13265306122 60 2
6268.14965986395 107 2
3886.96598639456 53 2
2201.01360544218 36 2
3381.72448979592 50 2
2824.68367346939 45 2
2007.36734693878 47 2
3994.39115646258 67 2
2971.5 58 2
5583.69047619048 28 2
13340.5068027211 71 2
2372.37074829932 68 2
2231.78231292517 88 2
11143.2244897959 161 2
4251.04761904762 67 2
8014.33673469388 67 2
2910.82653061224 65 2
3297.17346938775 57 2
3780.28231292517 62 2
4196.63265306122 73 2
4874.51360544218 60 2
3096.07142857143 74 2
6647.33333333333 83 2
7070.79931972789 83 2
9554.58503401361 98 2
5341.69047619048 73 2
9856.68707482993 72 2
8405.01360544218 80 2
10483.8401360544 96 2
7659.60204081633 78 2
8359.45578231292 57 2
8572.4693877551 96 2
5828.78231292517 74 2
4332.28571428571 58 2
3616.39115646258 76 2
4918.19727891157 89 2
4791.98299319728 81 2
4683.68707482993 38 2
4044.07823129252 47 2
4316.41836734694 87 2
4352.63265306123 42 2
10462.6632653061 54 2
12759.8095238095 72 2
12992.1598639456 112 2
7535.92517006803 90 2
2478.46258503401 62 2
3192.95238095238 41 2
2327.45578231293 49 2
986.513605442177 29 2
1984.33333333333 40 2
4617.39795918367 70 2
4012.90816326531 75 2
2882.03741496599 59 2
2556.71428571428 59 2
3565.16666666667 74 2
1823.7380952381 50 2
7302.96258503401 49 2
1611.84353741497 42 2
1122.7074829932 41 2
3126.31632653061 38 2
4369.68707482993 117 2
2523.62244897959 53 2
5832.3843537415 106 2
4894.59863945578 49 2
4404.51700680272 69 2
4527.07142857143 68 2
2254.81292517007 66 2
3506.98299319728 78 2
4715.68027210884 63 2
4881.98639455782 85 2
5205.32653061224 56 2
3478.20068027211 86 2
5867.12585034013 64 2
