Strength Degree Hemisphere
18986.9319727891 120 2
1655.90136054422 45 2
7104.2925170068 70 2
18148.4965986394 119 2
15695.1870748299 115 2
6761.78571428571 93 2
1360.24829931973 51 2
34768.7006802721 119 2
9732.76530612245 77 2
6110.53401360545 37 2
2654.64965986395 37 2
6984.38095238095 52 2
5373.29931972789 89 2
13003.843537415 133 2
11905.619047619 111 2
1289.8843537415 61 2
1668.28231292517 63 2
3239.35714285714 53 2
1527.29591836735 63 2
2767.26190476191 34 2
2869.18707482993 66 2
1941.29931972789 60 2
1768.45238095238 55 2
776.56462585034 39 2
4251.1768707483 49 2
42948.9421768707 79 2
4635.62585034014 60 2
5963.56802721089 50 2
5068.41156462585 83 2
3735.37414965986 67 2
2708.22789115646 64 2
2056.09523809524 42 2
1591.79931972789 53 2
1769.86734693878 40 2
1813.95578231293 35 2
2945.52721088435 36 2
3217.29931972789 45 2
2159.90476190476 56 2
7499.96258503401 47 2
5345.34013605442 43 2
1421.93537414966 37 2
8536.18367346939 71 2
35287.843537415 53 2
31692.5986394558 68 2
15196.7380952381 91 2
3021.1768707483 81 2
10242.2244897959 69 2
6402.44217687075 55 2
4511.15646258504 82 2
4694.13605442177 68 2
17024.3401360544 123 2
9806.81632653061 96 2
3126 67 2
11759.8945578231 58 2
40731.8979591837 65 2
8773.72789115646 83 2
1606.57482993197 41 2
3422.44217687075 66 2
1210.73469387755 36 2
1549.55442176871 40 2
1483.44897959184 42 2
1580.92517006803 41 2
6112.73809523809 59 2
1092.6156462585 48 2
2204.11224489796 46 2
783.003401360544 24 2
15416.6870748299 63 2
4086.77551020408 36 2
4598.98979591837 70 2
7543.61224489796 68 2
2956.77210884354 53 2
5200.27891156462 70 2
16400.119047619 59 2
10905.5646258503 90 2
5645.61224489796 106 2
3744.60544217687 80 2
5043.49319727891 86 2
8295.87755102041 88 2
4752.77891156463 42 2
1665.57482993197 11 2
4337.35714285714 49 2
2779.92517006803 68 2
6877.63605442177 46 2
7367.50680272109 37 2
4984.64965986395 40 2
4974.84693877551 41 2
3644.99319727891 55 2
3739.35034013605 59 2
1951.73129251701 58 2
4117.88775510204 75 2
4968.07482993197 72 2
3297.03401360544 37 2
4974.94897959184 56 2
3143.27891156463 33 2
2277.34013605442 38 2
5680.22448979592 42 2
7645.48979591837 43 2
4748.42176870748 44 2
4333.90136054422 71 2
2722.33673469388 43 2
1836.82653061225 33 2
1306.1768707483 40 2
835.914965986395 86 2
1525.51700680272 38 2
2744.79931972789 43 2
3666.95918367347 120 2
1167.1462585034 59 2
3113.7074829932 81 2
4273.77891156463 66 2
7257.01020408163 57 2
2175.08163265306 36 2
2972.6462585034 43 2
1540.28571428571 62 2
882.663265306122 47 2
927.571428571429 29 2
3529.59523809524 35 2
4920.90816326531 30 2
2464.01700680272 62 2
2932.35034013605 92 2
13514.6088435374 152 2
5128.69047619047 71 2
6470.79931972789 57 2
1502.98639455782 69 2
1541.28571428571 65 2
1975.71428571429 80 2
2957.32653061224 64 2
2068.68367346939 58 2
1488.62244897959 88 2
2921.19727891157 71 2
4126.67006802721 60 2
12463.2074829932 108 2
2352.68027210884 80 2
12618.7755102041 87 2
4212.86054421769 91 2
5732.46258503401 68 2
3271.10544217687 63 2
14355.9897959184 70 2
4670.34353741497 94 2
3449.04421768707 43 2
5133.06462585034 31 2
2314.9693877551 47 2
7438.35714285714 92 2
4693.79931972789 99 2
5040.56462585034 41 2
7225.47959183673 68 2
3906.64285714286 81 2
3444.68367346939 47 2
12045.037414966 68 2
21072.7142857143 81 2
9597.95918367347 49 2
12312.3367346939 92 2
4099.80612244898 102 2
1695.95238095238 46 2
905.690476190476 40 2
903.568027210884 40 2
1450.17006802721 57 2
4637.18367346939 77 2
3411.51360544218 75 2
2598.2380952381 68 2
1782.65986394558 75 2
2689.75170068027 48 2
1579.78231292517 34 2
2116.97278911565 46 2
1123.59863945578 37 2
630.071428571428 37 2
3521.5 53 2
3907.68367346939 137 2
1273.64965986395 39 2
3623.55782312925 54 2
3816.35714285714 45 2
2543.46598639456 60 2
3928.16666666667 77 2
1252.58843537415 59 2
1094.12244897959 63 2
2884.94557823129 82 2
1689.86734693878 94 2
3926.68707482993 63 2
1705.41836734694 74 2
1326.09183673469 39 2
2087.12244897959 44 2
16538.7210884354 106 1
2490.79591836735 52 1
4765.90136054422 50 1
15369.3129251701 122 1
12054.9319727891 100 1
6868.57142857143 89 1
1398.00340136054 35 1
40258.3435374149 93 1
7053.82653061225 67 1
9085.96258503401 40 1
3782.36394557823 40 1
8764.37074829932 50 1
8999.7380952381 97 1
10689.6768707483 119 1
11374.2244897959 112 1
2910.98639455782 92 1
2626.29591836735 87 1
3633.12925170068 49 1
2157.73129251701 71 1
2184.11224489796 30 1
2619.22108843537 54 1
2535.17006802721 59 1
2600.93197278912 54 1
760.687074829932 29 1
6151.74149659864 67 1
46449.619047619 68 1
5329.77891156463 73 1
5910.09863945578 54 1
4645.78231292517 80 1
2317.98979591837 66 1
2205.38775510204 65 1
1651.81972789116 34 1
1041.70068027211 49 1
774.051020408163 27 1
1237.4387755102 36 1
3968.29931972789 37 1
4707.10544217687 47 1
2176.52040816327 51 1
8255.23469387755 42 1
5732.53741496599 45 1
1645.75850340136 35 1
6620.97959183673 79 1
27276.9115646258 44 1
31297.6632653061 64 1
12799.0408163265 98 1
2893.24829931973 84 1
10160.1836734694 89 1
4847.59523809524 80 1
3098.3231292517 79 1
4841.77210884354 93 1
19848.3163265306 100 1
10366.9693877551 77 1
3882.34013605442 59 1
11515.0714285714 63 1
26720.8469387755 60 1
16262.9761904762 73 1
1321.72448979592 35 1
3656.21768707483 72 1
956.428571428571 33 1
1450.43537414966 40 1
1350.19727891156 47 1
1407.27210884354 45 1
13563.387755102 63 1
873.329931972789 37 1
1444.63605442177 36 1
956.380952380952 24 1
17809.806122449 55 1
4817.12585034014 50 1
4797.98299319728 82 1
13570.3333333333 96 1
3218.90476190476 54 1
4756.74149659864 63 1
10436.1802721088 48 1
11914.2142857143 73 1
4542.10204081633 106 1
4498.49319727891 93 1
7061.86054421769 88 1
10152.7210884354 74 1
3031.19047619048 31 1
1649.48979591837 13 1
5619.92517006803 54 1
3388.97619047619 82 1
10899.1258503401 51 1
7347.07142857143 38 1
5431.15646258503 37 1
5776.74149659864 44 1
3502.34013605442 58 1
3583.8843537415 58 1
