Strength Degree Hemisphere
20906.156462585 115 2
3183.13945578231 43 2
6027.02380952381 71 2
25854.962585034 115 2
14461.9931972789 105 2
8176.41156462586 88 2
2113.48979591837 51 2
18250.4931972789 123 2
9270.78571428572 80 2
5161.04421768707 37 2
2640.82653061225 37 2
4954.97959183674 54 2
3744.66666666667 88 2
15349.6802721088 129 2
8482.57482993197 107 2
2428.24149659864 63 2
2841.81632653061 59 2
4815.01020408163 52 2
3331.23469387755 65 2
3427.15986394558 36 2
2760.56802721089 63 2
2053.66666666667 59 2
2396.02040816327 59 2
1396.77210884354 42 2
4541.7925170068 49 2
14797.7993197279 76 2
4486.71088435374 62 2
5664.68027210885 50 2
3245.56802721088 82 2
5917.54421768708 66 2
4150.89795918367 66 2
3514.64965986395 39 2
2205.53401360544 54 2
2907.29591836735 40 2
3376.29931972789 40 2
3576.26870748299 35 2
5848.01700680272 45 2
3712.41156462585 52 2
5472.95918367347 46 2
5536.01360544218 44 2
2793.20408163265 38 2
5214.33333333333 78 2
16334.7278911565 55 2
13134.8945578231 77 2
7704.8231292517 87 2
2357.93197278912 88 2
8440.05442176871 72 2
6334.43197278912 57 2
3304.19047619048 82 2
5613.8231292517 68 2
14785.4285714286 126 2
13189.6870748299 97 2
6005.02380952381 71 2
7949.53741496599 57 2
12275.5272108844 61 2
3792.8843537415 85 2
2766.23469387755 40 2
5330.48299319728 66 2
1763.95238095238 38 2
2632.45238095238 42 2
2732.85034013605 43 2
2592.1156462585 45 2
4277.25510204082 58 2
1931.24149659864 50 2
2159.27210884354 47 2
1284.62244897959 23 2
10430.5408163265 57 2
4818.2074829932 38 2
3621.22789115646 70 2
3100.29591836735 75 2
2613.93537414966 52 2
2904.3843537415 70 2
13653.9081632653 60 2
6114.34013605442 89 2
5966.04421768708 110 2
3953.49659863945 87 2
4549.43537414966 97 2
5726.03401360544 89 2
5887.731292517 41 2
3172.02040816327 16 2
3847.98979591837 49 2
3193.49659863946 72 2
5685.16326530612 46 2
7215.94897959184 37 2
4926.14285714286 39 2
6075.37414965986 42 2
3251.49319727891 62 2
2379.77891156463 56 2
2188.89795918367 59 2
2822.55782312925 78 2
6064.16666666667 66 2
5449.57142857143 34 2
5907.92176870748 56 2
3628.13945578231 32 2
3924.7380952381 38 2
8187.08163265306 44 2
5891.86734693878 40 2
3488.36054421769 43 2
2833.40816326531 72 2
2930.82653061225 43 2
3245.77891156463 39 2
2996.26530612245 42 2
1852.98979591837 93 2
3650.6462585034 41 2
4415.4693877551 46 2
4453.0306122449 114 2
2735.67006802721 53 2
5044.69047619048 80 2
5735.2380952381 70 2
9137.88775510204 58 2
4459.97619047619 35 2
3705.60544217687 42 2
2464.21428571429 62 2
2429.85714285714 53 2
2456.89455782313 33 2
4558.7619047619 35 2
8233.34693877551 30 2
3243.81972789116 51 2
3068.19387755102 81 2
10277.8027210884 158 2
5473.45238095238 60 2
8979.42176870748 53 2
2728.0612244898 68 2
3091.98299319728 69 2
3741.15646258503 75 2
5139.72108843537 64 2
3434.56802721089 56 2
3390.80952380952 90 2
5429.99319727891 69 2
6022.39115646259 66 2
12680.9489795918 105 2
3323.48639455782 83 2
9140.05102040817 86 2
5790.74829931973 85 2
8860.58503401361 66 2
