Strength Degree Hemisphere
32210.925170068 138 2
2046.68707482993 34 2
3722.3537414966 42 2
24875.7823129252 137 2
21124.4761904762 107 2
14459.3707482993 82 2
2778.9387755102 28 2
17417.5 132 2
8360.42176870748 76 2
3314.77891156463 41 2
1138.39795918367 17 2
4975.00680272109 48 2
7598.96258503401 76 2
10655.8299319728 148 2
8074.54081632653 128 2
1547.84013605442 25 2
1918.53401360544 32 2
6851.8231292517 53 2
2158.96598639456 32 2
2248.50680272109 26 2
3287.06462585034 35 2
3328.65646258503 27 2
1061.7380952381 20 2
972.486394557823 23 2
3479.31972789116 47 2
12541.343537415 126 2
2776.28231292517 57 2
4163.13605442177 41 2
1849.92857142857 44 2
2596.53401360544 50 2
4461.07823129252 72 2
1002.92857142857 26 2
1253.28911564626 30 2
1127.78911564626 28 2
2297.49659863946 55 2
2352.55102040816 31 2
1946.22789115646 38 2
4289.11224489796 70 2
3409.89455782313 54 2
5289.21768707483 55 2
2308.34013605442 53 2
5245.02721088435 76 2
7040.98639455782 99 2
13967.8367346939 125 2
6296.57823129252 111 2
2790.77891156463 62 2
6575.52380952381 69 2
2972.2380952381 43 2
4273.29591836735 67 2
2745.89795918367 36 2
15804.4047619048 115 2
7857.12925170068 78 2
6265.62585034014 65 2
8610.62925170068 74 2
10076.9931972789 71 2
4823.19727891156 48 2
989.034013605442 26 2
2767.60204081633 56 2
1319.19727891156 30 2
3761.60884353741 74 2
2464.22789115646 47 2
3373.76530612245 67 2
5038.67006802721 87 2
2512.09863945578 46 2
2544.92517006803 41 2
706.336734693878 8 2
12553.3333333333 116 2
6582.55782312925 76 2
10952.9659863946 126 2
8852.60884353741 109 2
5542.8537414966 79 2
9292.24489795918 103 2
8847.92176870748 93 2
7735.20408163265 91 2
7658.69727891157 95 2
4463.268707483 70 2
9056.91496598639 96 2
7285.72448979592 83 2
3452.36054421769 60 2
2746.41496598639 46 2
4051.42857142857 58 2
5917.42517006803 80 2
6277.52380952381 68 2
7197.5306122449 70 2
6092.38775510204 74 2
9430.39795918368 101 2
7915.57482993197 97 2
5721.13605442177 57 2
4246.52721088435 62 2
4690.15986394558 62 2
5596.84013605442 71 2
3414.60884353741 30 2
4551.91156462585 44 2
2526.20408163265 25 2
1871.56462585034 30 2
7806.31972789116 104 2
5084.49319727891 70 2
3507.30612244898 42 2
3104.71768707483 40 2
4121.00680272109 39 2
1991.34693877551 32 2
2287.58843537415 45 2
2188.07482993197 61 2
4246.67006802721 73 2
2691.13605442177 51 2
6700.18707482994 116 2
1739.60544217687 37 2
6033.36734693878 105 2
2903.56802721088 62 2
1539.14285714286 33 2
1826.54761904762 47 2
1579.06462585034 36 2
1687.19387755102 32 2
1284.31632653061 41 2
1095.21428571429 33 2
3846.32653061224 28 2
5468.58163265306 59 2
2276.22448979592 31 2
3465.32993197279 62 2
25279.7142857143 202 2
5322.18707482993 43 2
6646.59183673469 62 2
