x y z
-26.400528 -43.570644 -16.190378
-33.167862 -57.473454 -16.161856
-32.009922 -41.165325 -9.389625
-30.161076 -79.018707 -12.702007
-26.558811 -59.837582 -7.319557
-21.73035 -75.603859 -7.988677
-35.232906 -85.539268 -13.655299
-15.6064 -87.393982 -10.920165
-20.322458 -48.400806 -7.538377
-42.581734 -74.715378 -5.389573
-12.999059 -37.556797 -7.704422
-12.885687 -62.659023 -2.667659
-7.250531 -76.743767 -2.139911
-38.19492 -87.014641 -3.071007
-24.373373 -97.475876 -8.6032
-5.469897 -95.206238 -9.980953
-12.899417 -41.905319 -4.489221
-44.516502 -78.104485 3.374731
-8.996787 -60.025772 3.554529
-3.496403 -71.798256 6.19433
-16.301203 -52.379402 -1.478206
-6.673474 -83.972893 0.00481
-32.199474 -87.020454 3.54296
-11.465489 -100.939903 -1.485929
-9.874021 -45.910248 1.394173
-8.451051 -93.598671 2.941325
-20.158077 -98.060249 4.537997
-14.695666 -76.853157 8.325255
-45.529942 -74.270164 11.888399
-27.9484 -90.844505 9.528934
-22.30707 -61.081089 6.305863
-40.31163 -78.049126 15.139409
-1.55671 -85.375778 10.364709
-9.728488 -95.936745 12.218925
-36.11842 -85.461609 16.614265
-19.470854 -95.031502 17.487459
-4.518969 -71.31797 17.45454
-15.273692 -67.155609 15.240613
-4.726917 -85.756996 22.161806
-28.743242 -83.088074 19.022806
-13.521968 -75.705299 22.817844
-11.993188 -87.388969 31.904469
-22.599054 -82.622017 25.992287
-13.916336 -79.456116 34.05685
-19.55904 -79.146156 43.412247
-53.257561 -2.717723 -0.591792
-57.715908 -16.174164 5.004653
-43.363533 -19.164703 3.773742
-57.26886 -26.905148 9.466471
-60.972675 -35.395248 6.95685
-45.71838 -27.059757 7.7379
-35.297249 -9.066112 11.697248
-32.485142 -24.969273 9.966102
-42.321938 -4.534309 14.235995
-38.329773 -14.393779 19.756865
-54.956051 -37.454918 15.966659
-41.378189 -36.681961 13.677019
-36.395622 -27.000921 19.749638
-50.076122 -14.868743 14.986707
-57.441051 0.936071 12.815584
-61.749176 -10.861748 11.932944
-47.505478 -27.371176 18.556221
-57.191212 -19.418779 20.376654
-56.479855 -4.110415 18.723526
-63.834759 -11.16369 24.801071
-54.961544 -10.146739 29.865898
-52.453285 -6.923223 33.26017
-56.247143 -15.937827 36.898678
-47.297215 -17.329863 39.226322
-52.560966 -22.493013 43.803532
-8.379185 -10.409151 41.03801
-50.763985 -7.157547 47.391052
-38.413593 -17.898169 36.402515
-44.720638 -18.229382 49.374413
-47.249744 -27.143692 50.127728
-39.028675 -14.06277 47.98613
-7.548419 -13.393872 48.286839
-43.212067 -25.652517 60.289856
-38.980995 -25.953676 49.605297
-38.33107 -36.346748 57.988533
-32.453362 -45.338192 58.517345
-35.547504 -21.920855 62.01231
-4.929472 -8.338698 59.943684
-9.13197 -38.271957 55.212086
-4.882266 -23.46254 55.205334
-29.140532 -11.89127 59.195499
-28.076118 -38.754005 57.747234
-31.24556 -31.439711 59.103039
-27.490021 -45.139141 62.11388
-29.152538 -35.85751 66.988693
-23.165422 -13.705916 66.516151
