x y z
-34.991741 -41.040833 -21.387566
-36.724339 -54.874107 -18.090921
-26.712215 -43.42094 -15.107813
-29.023935 -35.93063 -14.17904
-27.627832 -59.988419 -13.45153
-33.0816 -69.872704 -15.112418
-41.493393 -71.121979 -12.23231
-26.558811 -59.837582 -7.319557
-22.660112 -75.981003 -8.00087
-36.194942 -82.197945 -13.420156
-17.034853 -37.945728 -12.042568
-21.646751 -86.352608 -12.587001
-21.866673 -49.61348 -6.513867
-34.050594 -88.311226 -12.295901
-10.523794 -84.007591 -11.819817
-42.844486 -75.288361 -4.664359
-9.595186 -76.986755 -5.331016
-13.095675 -64.350471 -2.61165
-14.572886 -51.047455 -6.698385
-7.699489 -96.133621 -11.820951
-12.393753 -39.712894 -6.002242
-22.942673 -97.867973 -9.594806
-39.594776 -85.917244 -3.028547
-1.710989 -88.202644 -6.491632
-3.881305 -72.432152 1.971454
-8.996787 -60.025772 3.554529
-28.489761 -92.23082 0.33425
-15.882848 -47.229359 -3.702839
-44.475819 -76.631096 5.255584
-13.2821 -93.537163 -1.99238
-9.661212 -42.850094 0.65423
-10.393601 -69.87674 5.205479
-35.888065 -85.156303 4.619283
-17.942408 -56.134995 0.388114
-10.093642 -80.834099 3.123785
-11.124789 -102.254402 1.237742
-20.158077 -98.060249 4.537997
-15.821283 -51.743233 3.99541
-6.90672 -90.657341 3.968812
-9.106193 -47.104027 2.678607
-20.691011 -70.773819 6.693645
-23.303162 -57.655827 5.733063
-27.214367 -91.113213 8.41993
-8.010013 -76.511429 13.316825
-19.200485 -60.916313 8.237859
-43.993641 -71.98716 15.597473
-4.410556 -96.771034 10.148973
-15.367324 -97.590622 13.845078
-37.414097 -82.480247 14.23272
-1.58824 -84.181717 12.777248
-12.926334 -66.078255 10.537196
-24.739347 -90.953178 16.881275
-4.81787 -72.190804 18.894085
-3.564901 -85.670586 20.548883
-8.570333 -92.327003 23.418688
-17.640179 -61.220818 20.201914
-15.631598 -70.825645 18.511446
-17.256752 -87.994415 22.306641
-26.463608 -81.191261 19.074141
-8.989653 -77.331024 25.32954
-30.895121 -82.493958 25.394958
-4.907245 -85.189156 31.17256
-15.615194 -86.440407 35.380684
-23.180708 -80.327614 28.615469
-14.640883 -78.371574 33.557865
-20.85187 -75.453758 42.480408
-14.485415 -75.478722 45.515423
-53.257561 -2.717723 -0.591792
-55.091461 -18.071394 5.456367
-42.603874 -20.221714 2.168652
-58.066147 -27.732458 10.067158
-36.136681 -10.252595 10.539643
-33.879829 -22.917938 6.579268
-60.470181 -39.487049 9.344048
-42.592381 -30.597626 9.107589
-35.414356 -13.501588 16.741444
-47.514565 -34.908817 12.568856
-41.863743 -14.684885 18.919121
-33.748383 -27.744474 19.217701
-55.591389 -38.286736 16.503448
-50.399914 -15.742018 15.066573
-40.019215 -37.047756 16.671341
-58.701336 -5.301063 9.829784
-44.691452 -25.002859 19.039349
-56.891533 -18.910192 19.765594
-51.112827 -28.229856 18.882782
-56.88036 -2.936558 18.648842
-64.572266 -10.004673 19.96015
-55.047981 -9.735893 23.69611
-55.999134 -2.557649 29.499317
-61.771454 -9.598176 31.676918
-45.936432 -10.165317 29.350321
-53.619659 -5.810535 40.034145
-53.65221 -20.402061 39.132877
-48.659634 -15.147692 36.19471
-43.835403 -13.38597 37.483757
-7.48222 -10.045451 41.014057
-53.594257 -17.284801 48.279842
-49.925674 -3.685958 48.494938
-44.763958 -28.958944 42.660721
-36.697334 -19.870495 38.300148
-9.070146 -10.700605 45.99284
-48.073345 -26.231953 50.165768
-40.496273 -13.22003 49.144264
-33.339138 -19.601225 44.865768
-6.903224 -15.346017 48.992264
-42.668343 -22.866938 52.333195
-4.943134 -23.721727 50.181759
-41.615112 -34.352215 58.524067
-39.192993 -17.15262 57.10577
-8.293029 -37.363323 54.227009
-30.891991 -44.094074 58.432644
-4.627785 -7.932905 58.839012
-31.905382 -28.526552 50.884472
-32.204075 -37.956192 59.388199
-29.77132 -12.429306 62.31007
-4.885613 -18.379475 59.084324
-32.043781 -31.603764 60.770069
-30.066214 -23.639341 64.373123
-24.304983 -29.003254 54.056648
-4.537818 -29.949106 59.78043
-25.689472 -37.44622 61.755444
-8.478558 -41.300465 62.214691
-10.069168 -47.138485 64.822838
-27.572304 -31.840111 69.263786
-24.952559 -43.158756 60.952648
-24.206161 -13.871428 66.688354
-19.020245 -8.353826 63.904434
-5.405321 -13.208985 68.630844
-19.549385 -25.138121 64.470741
-19.550938 -31.732742 64.210228
-20.727249 -35.268562 69.645958
-19.647287 -42.330673 64.018547
-14.076114 -9.128798 69.894089
-17.625816 -15.517637 68.929596
-8.947261 -41.434986 72.240883
-4.679217 -23.640654 70.82933
-2.463902 -34.963749 68.463531
-10.853724 -15.63977 72.104851
-14.669956 -36.821247 73.474098
-12.329369 -27.451454 69.692505
-11.596489 -34.598415 68.944633
-44.772163 -50.700325 -14.112684
-44.565937 -62.212879 -6.932567
-54.059219 -59.262497 -6.480839
-45.969616 -65.407516 -0.274806
-54.165527 -61.361649 3.307473
-46.710251 -64.318802 10.718605
-43.243797 -72.509644 23.851549
-36.82428 -81.093216 31.994263
-28.56319 -72.202698 28.03738
-29.34111 -74.152527 36.686821
-23.454418 -69.94101 35.05077
-26.997671 -67.204559 39.055717
-54.09166 -33.704273 43.256729
-52.274349 -28.48757 38.685436
-47.04118 -32.739891 41.427311
-24.304995 -64.292068 47.129642
-19.847532 -67.984039 47.150509
-41.428028 -36.759434 42.956509
-36.405155 -43.166245 43.196079
-13.826392 -69.287346 53.406933
-32.540657 -48.402679 47.228371
-28.349514 -55.475224 49.268158
-38.61898 -35.844326 46.851955
-26.076982 -59.499741 53.158203
-7.843499 -65.640221 54.112118
-36.25956 -42.097378 51.812
-20.374758 -64.172386 56.159031
-32.405731 -51.027958 54.173382
-7.425392 -59.307671 54.938393
-26.241194 -57.101376 57.655308
-14.470292 -62.404808 60.129475
-12.420468 -58.969688 60.180691
-21.4874 -57.505077 62.113419
-29.836056 -50.692806 62.058273
-9.436628 -54.323612 64.289764
-17.786022 -54.882767 63.327053
-24.237921 -50.151588 64.330162
-15.490197 -48.758484 68.27507
-40.9025 -4.44485 49.037621
-34.402985 -0.611211 52.749706
-25.282825 7.101494 53.493484
-31.935162 -8.590155 52.267784
-26.228645 -2.703414 52.705032
-20.989126 4.084175 59.82756
-22.799406 -9.998643 55.817944
-49.495037 5.211193 26.585535
-45.471985 0.057673 36.525158
-48.452244 -38.809513 23.787945
-55.119602 -43.940361 24.246962
-52.507309 -33.30769 24.123957
-59.82222 -29.017481 23.748196
-57.110706 -40.347565 29.961012
-58.626316 -20.692905 28.332796
-59.889519 -25.679495 31.798326
-59.970268 -33.227978 34.061642
-51.321594 -54.104073 9.20127
-38.832867 -0.473158 -9.846079
-35.292992 29.233812 -1.629636
-40.007648 3.844942 -0.247321
-38.110844 -14.479598 -4.760238
-30.581591 20.646719 10.731075
-35.04834 0.776917 9.575141
-39.258972 10.605867 7.007946
-45.769588 12.224145 0.739969
-41.159233 -2.776193 14.682321
-50.474586 -1.320661 5.146564
-52.158726 9.653396 5.213648
-54.337029 6.465048 15.764121
-30.573198 43.80125 24.751167
-27.09742 38.062279 32.865158
-8.959032 23.921629 30.409098
-5.949414 13.009324 34.296055
-2.337886 -1.649054 37.820049
-8.304359 1.433156 41.387775
-9.890004 -31.093508 40.521778
-6.418376 13.26284 42.691494
-10.054428 -20.025618 38.807049
-13.216233 -39.56953 44.563221
-12.619636 -26.865099 42.689205
-6.41778 0.157882 51.210594
-10.800616 -45.323883 51.497852
-12.778555 -35.492783 48.496956
-6.124614 -50.631279 58.271545
-4.568239 3.011242 62.757816
-11.456063 -46.167969 57.632545
-17.146992 0.989666 67.250801
-9.582148 -4.478477 68.247597
-17.665104 12.070509 -22.578835
-12.77677 23.647324 -20.052771
-24.137455 12.543262 -21.811611
-9.216954 38.264278 -21.028585
-16.242672 41.615196 -21.146721
-22.112682 27.811886 -15.923895
-4.522955 15.575224 -22.163252
-2.733497 37.476471 -22.127934
-10.197468 55.557774 -21.777388
-3.820905 13.782108 -13.310604
-8.717762 63.71207 -12.408385
-20.706703 59.519772 -6.325437
-29.410101 -3.393924 -42.853432
-43.318874 -2.733219 -41.677315
-31.658358 8.284494 -39.56971
-31.047319 -9.874466 -32.213623
-39.454693 -11.962091 -30.221359
-22.143063 1.007587 -35.939781
-49.433945 -19.143122 -32.028931
-17.317862 -9.756154 -29.455778
-38.705788 -21.235142 -24.993288
-27.68618 10.834144 -31.874706
-43.478336 -29.038969 -21.298302
-21.475588 -21.972265 -26.548441
-43.39315 16.102753 -30.618254
-33.704319 -24.895971 -21.975067
-55.368496 -34.217167 -24.585791
-39.046535 10.766726 -24.427992
-46.31987 5.835763 -14.302079
-56.595249 -41.987835 39.584435
-51.818741 -49.690384 41.499912
-31.66692 -66.42395 43.734386
-52.817825 -42.447403 45.612804
-36.363678 -57.719391 43.577675
-45.238018 -48.082157 47.63451
-40.791229 -53.006676 45.699917
-47.267521 -40.484982 45.252781
-28.879946 -60.679508 46.730358
-41.201576 -44.242149 42.326969
-31.39724 -56.12796 43.436329
-35.529896 -49.192108 40.741264
-56.983944 -41.868221 -19.603102
-57.242657 -47.819965 -11.970038
-59.293243 -52.338417 -2.825501
-29.969631 6.569464 56.929073
-18.568045 14.164202 61.176155
-41.118008 46.889431 -1.681697
-42.568073 40.019966 6.684935
-28.016405 51.482563 12.041699
-45.976078 32.584156 11.814239
-36.944496 48.177105 13.191586
-52.224689 15.212543 12.201278
-39.890106 37.363331 16.685532
-48.455147 11.280725 19.827105
-45.331177 22.312532 20.737232
-39.747372 35.983036 25.981533
-42.305065 25.865047 25.698795
-39.574966 12.37855 27.120884
-35.373375 31.873182 33.630302
-42.686817 19.437307 33.530342
-38.783752 7.311767 33.485695
