Hemisphere nVoxels tSNR Strength
2 7 11.7062636784145 4.37326382454113
2 450 15.6212113539378 14.9443060056712
3 406 5.48152727035466 9.10242470314048
3 311 6.03505908407966 8.61796319694496
3 185 6.87740343970221 8.52054826509753
3 207 5.9358627508228 7.52308494693261
3 445 10.9547796056512 15.4003751075751
3 51 15.1204218583948 10.3187833702976
3 42 12.8062478701274 8.51098458728491
3 78 13.2137322303576 10.5714417405375
3 172 13.7899105327074 13.1871420825314
3 256 13.6663171350956 15.4200822732091
3 12 15.6126792430878 7.69150282130383
3 55 13.9441224705089 8.91751108260255
3 282 10.3049150257246 12.1171099073578
3 81 12.2970863624855 8.56161933952785
3 61 13.7002330060865 9.24036452697083
3 400 8.46863687455654 13.0242167507219
3 42 13.5985095841544 7.81200507159427
3 88 14.1840494979512 9.88819495204704
3 67 15.689039415388 11.9242279845476
3 204 13.8322288943272 13.1896104660332
3 24 13.0485194126765 6.96707593275007
3 24 12.5502409140269 5.97147848408322
3 78 12.696991957151 9.58107202143738
3 114 12.5214220013535 11.0701186203963
3 311 10.809205956781 13.4508240069111
2 11 11.7854860479181 4.8162850046535
2 45 10.2160537719727 5.62207781821044
2 202 9.41077221502172 7.95119091313623
1 337 10.4464213048669 13.0290524896759
1 111 12.3546021521628 10.9376911221222
1 83 12.3521082659802 10.3797613787191
1 21 12.8200324376424 5.37485681507368
1 25 12.4990863037109 6.89799409913568
1 189 13.4338406002711 12.4301809988521
1 75 15.5863456726074 11.7806203899011
1 77 14.6099706129594 10.3197264280252
1 32 13.117060303688 6.87406006899446
1 405 8.18617485305409 12.7389520060265
1 58 13.7308467996532 8.66760088599264
1 69 11.744985981264 7.52421721229643
1 267 9.9837626732244 12.0056162772695
1 47 13.8611649249462 8.24546348757041
1 13 15.9174144451435 7.75031782292463
1 258 13.4041885775189 15.048771101883
1 155 13.7086108976795 12.9894394053552
1 69 13.0602480017621 10.048863209073
1 23 12.9717913088591 6.9084229370135
1 56 14.7819012914385 10.6504885267646
1 401 10.7431856153017 14.5906306487314
1 155 5.37823128238801 5.90253520681977
1 138 6.18090023510698 6.68742588128011
1 195 5.96981797951918 7.43639735478443
1 400 5.51001568138599 8.94247855067559
2 167 10.1916906905031 10.5428931276448
2 153 15.0890288571127 13.6332831426043
2 63 12.4326262095618 9.49727670197321
3 126 6.82647886541155 7.50243371472068
3 97 6.08732699610523 6.57079790786488
2 NaN NaN 14.8479386906383
1 80 5.80754125416279 5.77247391613181
1 103 6.04252446044996 6.29855548066421
3 153 13.1930385321573 12.3832417613887
1 157 14.1151199553423 12.954202937801
3 72 10.673772878117 7.89029352464956
1 63 11.1871892081367 7.55998910009544
