x y z
-34.86974 -39.105236 -22.010578
-30.245659 -34.020477 -15.423951
-26.510866 -45.368969 -13.73305
-34.651012 -59.536362 -16.390913
-42.139164 -64.393082 -13.810484
-26.90671 -68.576202 -10.117853
-30.161076 -79.018707 -12.702007
-29.665773 -45.612488 -6.180278
-26.558811 -59.837582 -7.319557
-18.24939 -37.264427 -13.333593
-38.855541 -80.924873 -11.495129
-16.641821 -78.211418 -10.162666
-21.866673 -49.61348 -6.513867
-16.900436 -89.097824 -9.973781
-29.867887 -91.863403 -10.623168
-13.299988 -38.933716 -8.645447
-14.154408 -64.409767 -3.362185
-14.572886 -51.047455 -6.698385
-7.850421 -75.697838 -2.051397
-38.19492 -87.014641 -3.071007
-2.6392 -89.292252 -10.107455
-20.631651 -98.324158 -9.280492
-11.827629 -41.282776 -3.300908
-11.905758 -96.161049 -7.537459
-28.489761 -92.23082 0.33425
-44.735001 -78.043587 4.458084
-12.887174 -57.986275 2.217913
-18.131237 -49.384106 -2.543912
-8.656627 -70.89328 5.967449
-35.888065 -85.156303 4.619283
-8.158189 -81.285255 2.386203
-9.991494 -47.217636 2.054691
-18.95689 -99.232704 4.679301
-7.461669 -93.032318 3.200937
-7.919636 -101.747948 2.737546
-20.647898 -53.866055 4.447817
-31.50836 -86.849098 7.156163
-24.428555 -93.696037 8.799098
-23.659878 -65.712929 6.003225
-10.642818 -73.378716 12.334351
-44.814774 -74.274803 14.533926
-1.747035 -83.729965 11.259825
-13.936313 -97.65979 13.907909
-38.291698 -81.634529 15.598745
-30.969503 -88.683662 13.35373
-6.898425 -92.382919 14.410775
-13.72428 -66.245667 13.238381
-4.81787 -72.190804 18.894085
-23.011776 -89.865852 18.00728
-3.806677 -81.790543 23.529083
-30.895121 -82.493958 25.394958
-15.050982 -75.161011 23.631861
-15.222693 -88.135559 25.749348
-8.173648 -87.154823 33.450005
-24.289211 -79.591507 23.836821
-13.916336 -79.456116 34.05685
-21.333652 -80.210449 39.066002
-14.485415 -75.478722 45.515423
-52.645336 2.975567 -4.186345
-55.304646 -6.999419 2.677606
-55.964493 -18.488552 5.588017
-42.701962 -19.819609 4.542746
-58.834156 -28.626181 10.630908
-61.15794 -38.331375 9.088338
-36.136681 -10.252595 10.539643
-45.123688 -28.755604 7.915298
-32.955223 -25.686817 9.211152
-37.756344 -13.70713 19.43034
-55.591389 -38.286736 16.503448
